Gastos,Estado_Civil
174.770021661909,solteiros
161.329206619394,solteiros
153.679900850863,solteiros
175.351592994046,solteiros
185.793398289321,solteiros
170.202462740626,solteiros
150.8549565713,solteiros
157.440088617225,solteiros
171.596654773339,solteiros
9.87474262516482,solteiros
50.5645554670016,solteiros
25.0875496696788,solteiros
17.0661987504312,solteiros
60.1224674502026,solteiros
35.5154028285664,solteiros
30.4321086925016,solteiros
27.8188980544904,solteiros
48.0452539322412,Casados
78.9197865324734,Casados
39.5751781629677,Casados
37.1329656327517,Casados
38.684069121093,Casados
163.790338797433,Casados
184.720273514352,Casados
167.583106239899,Casados
138.885665257324,Casados
14.2586307887884,Casados
41.3867417301938,Casados
23.7622285692359,Casados
37.4729772794009,Casados
42.4926762466659,Casados
15.8016718071775,Casados
141.363480335882,Casados
163.400459287948,Casados
140.190492201897,Casados
147.942698809323,Casados
8.5061846804934,Casados
20.8113941426179,Casados
34.6086119259266,Casados
30.7229538650678,Casados
8.81227865272712,Casados
5.74735216885902,Casados
30.9398891106907,Casados
19.6212096123791,Casados
16.716945267481,Casados
32.9436217626275,Casados
21.511905851158,Casados
34.6304034101472,Casados
16.2704826042681,Casados
15.4790632095655,Casados
8.2563342288104309,Casados
4.7263338963663,Casados
14.4153129255327,Casados
19.8344282661234,Casados
8.81306901471397,Casados
16.7592556127806,Casados
20.3176176298076,Casados
47.8590627884627,Casados
2.59778754862417,Casados
9.38425601777391,Casados
25.2455048267186,Casados
32.7250288712979,Casados
5.43268078364765,Casados
28.2104605365607,Casados
3.18609515001209,Casados
50.564581262513,Casados
34.7370783113952,Casados
24.4037922212213,Casados
31.4997283634204,Casados
11.2323425300881,Casados
27.9053307974433,Casados
41.2234268777169,Casados
19.5112436004646,Casados
31.2073058210955,Casados
35.9470130480825,Casados
16.1960287769175,Casados
44.5365791890593,Casados
14.3698142789208,Casados
13.2630510987537,Casados
4.63398786180773,Casados
26.6610570873775,Casados
18.023244405391,Casados
72.3298402892867,Casados
50.5684226296565,Casados
55.6251926080436,Casados
17.0613250010048,Casados
2.39404093355522,Casados
43.530118783298,Casados
32.9831443965413,Casados
39.9617218607622,Casados
10.4634451365926,Casados
8.93702642184252,Casados
12.1501174131844,Casados
11.7525513477354,Casados
16.2990775324815,Casados
44.5453919973285,Casados
38.0393535792355,Casados
22.0703974352325,Casados
50.7486034030794,Casados
19.9252025339318,Casados
6.8366108202567,Casados
3.077799353254,Casados
28.0507001837521,Casados
30.1697285113061,Casados
6.53184416916073,Casados
9.53198727121377,Casados
6.59266645551752,Casados
22.1605754480815,Casados
5.90830712162365,Casados
37.2034845899045,Casados
36.4842442182048,Casados
22.2552757873296,Casados
24.4627568806115,Casados
32.1985589022666,Casados
18.604230207709,Casados
27.5834177510951,Divorciados
33.0042729903,Divorciados
7.53469171526227,Divorciados
19.8423174628847,Divorciados
54.3457453874529,Divorciados
13.1330189654278,Divorciados
15.1407470062459,Divorciados
2.87916580644454,Divorciados
0.357075783631849,Divorciados
5.83122133978906,Divorciados
41.9303025963975,Divorciados
50.7366690908169,Divorciados
5.49225229796712,Divorciados
0.781567028951091,Divorciados
33.3341495203441,Divorciados
